Offer ID,Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
766,NetMeds CPS,Flat 30% OFF Nestle Lactogen 3 400G (Box),SHORT30,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fnestle-lactogen-3_400g-box%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 30% OFF Nestle Lactogen 4 400G (Box),SHORT30,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fnestle-lactogen-4_400g-box%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
562,Freecharge CPS,Get Upto 300% Cashback on Prepaid Mobile Recharge of Rs.25. Max Cashback is Rs.75 and Min Cashback is Rs.30. For New Users only,FREERC ,11-03-16,11/18/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get Upto 300% Cashback on DTH Recharge & Postpaid  Electricity & GAS  Landline & Metro Bill Payment of Rs.300 or More. Max Cashback is Rs.300 and Min Cashback is Rs.60. For New Users only,BILLFREE,11-04-16,11/18/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF- Lenovo 80E502Q8IH,AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Flenovo-g50-80-laptop-with-4-gb-ram-and-1-tb-hard-disk-capacity-black%2Fp-mp000000000121613%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF Lenovo 80E502Q3IH,AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Flenovo-g50-80-80e502q3ih-15-6-inch-notebook-black%2Fp-mp000000000401253%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF-HP 15-ba025au,AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Fhp-notebook-15-ba025au-4-gb-ram-500-gb-hdd-laptop-silver%2Fp-mp000000000508585%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF Acer Gateway NE46RS1 14 Inch 320 GB HDD Notebook (Black),AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Facer-gateway-ne46rs1-14-inch-320-gb-hdd-notebook-black%2Fp-mp000000000309968%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF- iBall CompBook Exemplaire 14 Inch Laptop (Brown),AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Fiball-compbook-exemplaire-14-inch-laptop-brown%2Fp-mp000000000406446%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
1178,Tata Cliq,Additonal 500/- OFF HP Notebook 15-ay019TU 4 GB RAM 1 TB HDD Laptop (Silver),AFF500 ,11-04-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=1178&aff_id=18862&url=https%3A%2F%2Fwww.tatacliq.com%2Fhp-notebook-15-ay019tu-4-gb-ram-1-tb-hdd-laptop-silver%2Fp-mp000000000508583%3F%3Fcid%3Daf%3Ahomepage%3Apayoom%3Adeal%3A08072016%3A%7Baffiliate_id%7D
